text,clean_number
 1oo,100
8185,8185
7422,7422
"81,637.00",81637.00
li. 00),000
20) . 00,200.
22.()(,22.000
28. 00,28.00
0. 00],0.000
0. 00]i,0.0001
0. 00#i,0.0001
0. 00],0.000
6. 00,6.00
74. 00,74.00
5. 00,5.00
69,69
"32,00",32.00
32. 00,32.00
12.00|[d,12.00100
10. 00,10.00
27 25i,27251
36. 00,36.00
กม,0
n. ioii,.1011
85. 25,85.25
1,1
",423,00",423.00
",423.00",423.00
320.,320.
30. 00,30.00
49. 00,49.00
4. i0,4.
ii.ป)5,11.05
159. 00  n,159.00
65. 00,65.00
75. 00  n,75.00
95. 00  n,95.00
150. 00  n,150.00
45. 00  n,45.00
65. 00,65.00
65. 00,65.00
"65, 00",65.00
65. 00,65.00
849. 00,849.00
158.dd,158.00
59.dก,59.00
11b.dd,11.00
999.dd,999.00
133.40,133.40
"1,200.60",1200.60
95 qd,95
380 00,38000
"220,00",220.00
450 0ฏ,4500
1oo.qd,100.00
2030.q0,2030.00
9s.00,95.00
มเหา,11
เหล่ำปงร์,1000
274.00,274.00
73.014.00,73014.00
"15,00",15.00
69.00,69.00
"179,00",179.00
"15,00",15.00
"30,00",30.00
"30,00",30.00
"139,00",139.00
"159,00",159.00
"200,00",200.00
"39,00",39.00
"89,00",89.00
"89,00",89.00
"89,00",89.00
"59,00",59.00
"1,300.00",1300.00
120.00,120.00
110.00,110.00
40.00,40.00
360.00,360.00
23.55,23.55
1o.0d,10.00
35.00,35.00
12.00,12.00
179.00,179.00
.0d,.00
236.00,236.00
718.00,718.00
0.00,0.00
o.0d,0.00
718.00,718.00
""""""",336""",000.3360
"/5#)60,",050060.
เคดังเ45,10145
"1,666.00",1666.00
1,1
"289,00",289.00
"289,00",289.00
"289,00",289.00
"1,156,00",1156.00
398.00,398.00
50.00,50.00
40.00,40.00
20.00,20.00
35.56,35.56
8544.00,8544.00
"1,000,00 v/",1000.00
so.od v,50.000
"1,080,00",1080.00
29. 00,29.00
0. oon,0.
68. 00,68.00
39. 00,39.00
40 baht,40
29. 00,29.00
"29, 00",29.00
;3-9.00,9.00
a110 วา,011001
:30.00,30.00
8250.00,8250.00
8240.00,8240.00
8250.00,8250.00
8250.00,8250.00
8190.00,8190.00
8200.00,8200.00
"82,364.00",82364.00
0.00,0.00
50.00,50.00
คูปองสวนลด 15 บาท,15
35.00,35.00
2.29,2.29
677.99,677.99
677.00,677.00
อ0.00,0.00
60.00,60.00
60.00,60.00
63 .25,63.25
91 .50,91.50
154.75,154.75
o. oo,0.00
495.00 ([),495.00
119.00 (1),119.00
 pay cash,00005
40. 17,40.17
"1,646.00",1646.00
"-734,00",734.00
"3,490, 00",3490.00
"-500, 00",500.00
"3,902,00",3902.00
255.27,255.27
155. 00,155.00
--155. 00,155.00
